code,name,cause_group,death_circumstance,coronial_investigation_risk,registration_complexity
P28,Other respiratory conditions originating in the perinatal period,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P28.0,Primary atelectasis of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P28.1,Other and unspecified atelectasis of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P28.2,Cyanotic attacks of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P28.3,Primary sleep apnoea of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P28.4,Other apnoea of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P28.5,Respiratory failure of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P28.8,Other specified respiratory conditions of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P28.9,"Respiratory condition of newborn, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P29,Cardiovascular disorders originating in the perinatal period,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P29.0,Neonatal cardiac failure,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P29.1,Neonatal cardiac dysrhythmia,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P29.2,Neonatal hypertension,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P29.3,Persistent fetal circulation,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P29.4,Transient myocardial ischaemia of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P29.8,Other cardiovascular disorders originating in the perinatal period,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P29.9,"Cardiovascular disorder originating in the perinatal period, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P35,Congenital viral diseases,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P35.0,Congenital rubella syndrome,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P35.1,Congenital cytomegalovirus infection,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P35.2,Congenital herpesviral [herpes simplex] infection,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P35.3,Congenital viral hepatitis,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P35.4,Congenital Zika virus disease,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P35.8,Other congenital viral diseases,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P35.9,"Congenital viral disease, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P36,Bacterial sepsis of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P36.0,"Sepsis of newborn due to streptococcus, group B","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P36.1,Sepsis of newborn due to other and unspecified streptococci,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P36.2,Sepsis of newborn due to Staphylococcus aureus,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P36.3,Sepsis of newborn due to other and unspecified staphylococci,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P36.4,Sepsis of newborn due to Escherichia coli,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P36.5,Sepsis of newborn due to anaerobes,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P36.8,Other bacterial sepsis of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P36.9,"Bacterial sepsis of newborn, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P37,Other congenital infectious and parasitic diseases,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P37.0,Congenital tuberculosis,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P37.1,Congenital toxoplasmosis,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P37.2,Neonatal (disseminated) listeriosis,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P37.3,Congenital falciparum malaria,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P37.4,Other congenital malaria,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P37.5,Neonatal candidiasis,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P37.8,Other specified congenital infectious and parasitic diseases,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P37.9,"Congenital infectious and parasitic disease, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P38,Omphalitis of newborn with or without mild haemorrhage,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P39,Other infections specific to the perinatal period,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P39.0,Neonatal infective mastitis,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P39.1,Neonatal conjunctivitis and dacryocystitis,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P39.2,"Intra-amniotic infection of fetus, not elsewhere classified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P39.3,Neonatal urinary tract infection,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P39.4,Neonatal skin infection,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P39.8,Other specified infections specific to the perinatal period,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P39.9,"Infection specific to the perinatal period, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P50,Fetal blood loss,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P50.0,Fetal blood loss from vasa praevia,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P50.1,Fetal blood loss from ruptured cord,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P50.2,Fetal blood loss from placenta,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P50.3,Haemorrhage into co-twin,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P50.4,Haemorrhage into maternal circulation,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P50.5,Fetal blood loss from cut end of co-twin's cord,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P50.8,Other fetal blood loss,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P50.9,"Fetal blood loss, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P51,Umbilical haemorrhage of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P51.0,Massive umbilical haemorrhage of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P51.8,Other umbilical haemorrhages of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P51.9,"Umbilical haemorrhage of newborn, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P52,Intracranial nontraumatic haemorrhage of fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P52.0,"Intraventricular (nontraumatic) haemorrhage, grade 1, of fetus and newborn","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P52.1,"Intraventricular (nontraumatic) haemorrhage, grade 2, of fetus and newborn","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P52.2,"Intraventricular (nontraumatic) haemorrhage, grade 3, and grade 4 of fetus and newborn","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P52.3,Unspecified intraventricular (nontraumatic) haemorrhage of fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P52.4,Intracerebral (nontraumatic) haemorrhage of fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P52.5,Subarachnoid (nontraumatic) haemorrhage of fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P52.6,Cerebellar (nontraumatic) and posterior fossa haemorrhage of fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P52.8,Other intracranial (nontraumatic) haemorrhages of fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P52.9,"Intracranial (nontraumatic) haemorrhage of fetus and newborn, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P53,Haemorrhagic disease of fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P54,Other neonatal haemorrhages,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P54.0,Neonatal haematemesis,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P54.1,Neonatal melaena,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P54.2,Neonatal rectal haemorrhage,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P54.3,Other neonatal gastrointestinal haemorrhage,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P54.4,Neonatal adrenal haemorrhage,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P54.5,Neonatal cutaneous haemorrhage,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P54.6,Neonatal vaginal haemorrhage,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P54.8,Other specified neonatal haemorrhages,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P54.9,"Neonatal haemorrhage, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P55,Haemolytic disease of fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P55.0,Rh isoimmunization of fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P55.1,ABO isoimmunization of fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P55.8,Other haemolytic diseases of fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P55.9,"Haemolytic disease of fetus and newborn, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P56,Hydrops fetalis due to haemolytic disease,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P56.0,Hydrops fetalis due to isoimmunization,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P56.9,Hydrops fetalis due to other and unspecified haemolytic disease,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P57,Kernicterus,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P57.0,Kernicterus due to isoimmunization,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P57.8,Other specified kernicterus,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P57.9,"Kernicterus, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P58,Neonatal jaundice due to other excessive haemolysis,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P58.0,Neonatal jaundice due to bruising,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P58.1,Neonatal jaundice due to bleeding,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P58.2,Neonatal jaundice due to infection,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P58.3,Neonatal jaundice due to polycythaemia,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P58.4,Neonatal jaundice due to drugs or toxins transmitted from mother or given to newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P58.5,Neonatal jaundice due to swallowed maternal blood,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P58.8,Neonatal jaundice due to other specified excessive haemolysis,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P58.9,"Neonatal jaundice due to excessive haemolysis, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P59,Neonatal jaundice from other and unspecified causes,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P59.0,Neonatal jaundice associated with preterm delivery,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P59.1,Inspissated bile syndrome,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P59.2,Neonatal jaundice from other and unspecified hepatocellular damage,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P59.3,Neonatal jaundice from breast milk inhibitor,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P59.8,Neonatal jaundice from other specified causes,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P59.9,"Neonatal jaundice, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P60,Disseminated intravascular coagulation of fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P61,Other perinatal haematological disorders,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P61.0,Transient neonatal thrombocytopenia,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P61.1,Polycythaemia neonatorum,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P61.2,Anaemia of prematurity,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P61.3,Congenital anaemia from fetal blood loss,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P61.4,"Other congenital anaemias, not elsewhere classified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P61.5,Transient neonatal neutropenia,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P61.6,Other transient neonatal disorders of coagulation,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P61.8,Other specified perinatal haematological disorders,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P61.9,"Perinatal haematological disorder, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P70,Transitory disorders of carbohydrate metabolism specific to fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P70.0,Syndrome of infant of mother with gestational diabetes,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P70.1,Syndrome of infant of a diabetic mother,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P70.2,Neonatal diabetes mellitus,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P70.3,Iatrogenic neonatal hypoglycaemia,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P70.4,Other neonatal hypoglycaemia,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P70.8,Other transitory disorders of carbohydrate metabolism of fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P70.9,"Transitory disorder of carbohydrate metabolism of fetus and newborn, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P71,Transitory neonatal disorders of calcium and magnesium metabolism,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P71.0,Cow milk hypocalcaemia in newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P71.1,Other neonatal hypocalcaemia,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P71.2,Neonatal hypomagnesaemia,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P71.3,Neonatal tetany without calcium or magnesium deficiency,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P71.4,Transitory neonatal hypoparathyroidism,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P71.8,Other transitory neonatal disorders of calcium and magnesium metabolism,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P71.9,"Transitory neonatal disorder of calcium and magnesium metabolism, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P72,Other transitory neonatal endocrine disorders,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P72.0,"Neonatal goitre, not elsewhere classified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P72.1,Transitory neonatal hyperthyroidism,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P72.2,"Other transitory neonatal disorders of thyroid function, not elsewhere classified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P72.8,Other specified transitory neonatal endocrine disorders,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P72.9,"Transitory neonatal endocrine disorder, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P74,Other transitory neonatal electrolyte and metabolic disturbances,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P74.0,Late metabolic acidosis of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P74.1,Dehydration of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P74.2,Disturbances of sodium balance of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P74.3,Disturbances of potassium balance of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P74.4,Other transitory electrolyte disturbances of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P74.5,Transitory tyrosinaemia of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P74.8,Other transitory metabolic disturbances of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P74.9,"Transitory metabolic disturbance of newborn, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P75,Meconium ileus in cystic fibrosis,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P76,Other intestinal obstruction of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P76.0,Meconium plug syndrome,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P76.1,Transitory ileus of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P76.2,Intestinal obstruction due to inspissated milk,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P76.8,Other specified intestinal obstruction of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P76.9,"Intestinal obstruction of newborn, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P77,Necrotizing enterocolitis of fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P78,Other perinatal digestive system disorders,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P78.0,Perinatal intestinal perforation,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P78.1,Other neonatal peritonitis,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P78.2,Neonatal haematemesis and melaena due to swallowed maternal blood,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P78.3,Noninfective neonatal diarrhoea,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P78.8,Other specified perinatal digestive system disorders,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P78.9,"Perinatal digestive system disorder, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P80,Hypothermia of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P80.0,Cold injury syndrome,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P80.8,Other hypothermia of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P80.9,"Hypothermia of newborn, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P81,Other disturbances of temperature regulation of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P81.0,Environmental hyperthermia of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P81.8,Other specified disturbances of temperature regulation of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P81.9,"Disturbance of temperature regulation of newborn, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P83,Other conditions of integument specific to fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P83.0,Sclerema neonatorum,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P83.1,Neonatal erythema toxicum,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P83.2,Hydrops fetalis not due to haemolytic disease,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P83.3,Other and unspecified oedema specific to fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P83.4,Breast engorgement of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P83.5,Congenital hydrocele,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P83.6,Umbilical polyp of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P83.8,Other specified conditions of integument specific to fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P83.9,"Condition of integument specific to fetus and newborn, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P90,Convulsions of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P91,Other disturbances of cerebral status of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P91.0,Neonatal cerebral ischaemia,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P91.1,Acquired periventricular cysts of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P91.2,Neonatal cerebral leukomalacia,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P91.3,Neonatal cerebral irritability,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P91.4,Neonatal cerebral depression,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P91.5,Neonatal coma,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P91.6,Hypoxic ischaemic encephalopathy of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P91.7,Acquired hydrocephalus of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P91.8,Other specified disturbances of cerebral status of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P91.9,"Disturbance of cerebral status of newborn, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P92,Feeding problems of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P92.0,Vomiting in newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P92.1,Regurgitation and rumination in newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P92.2,Slow feeding of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P92.3,Underfeeding of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P92.4,Overfeeding of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P92.5,Neonatal difficulty in feeding at breast,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P92.8,Other feeding problems of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P92.9,"Feeding problem of newborn, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P93,Reactions and intoxications due to drugs administered to fetus and newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P94,Disorders of muscle tone of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P94.0,Transient neonatal myasthenia gravis,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P94.1,Congenital hypertonia,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P94.2,Congenital hypotonia,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P94.8,Other disorders of muscle tone of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P94.9,"Disorder of muscle tone of newborn, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P95,Fetal death of unspecified cause,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P96,Other conditions originating in the perinatal period,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P96.0,Congenital renal failure,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P96.1,Neonatal withdrawal symptoms from maternal use of drugs of addiction,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P96.2,Withdrawal symptoms from therapeutic use of drugs in newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P96.3,Wide cranial sutures of newborn,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P96.4,"Termination of pregnancy, affecting fetus and newborn","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P96.5,"Complications of intrauterine procedures, not elsewhere classified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P96.8,Other specified conditions originating in the perinatal period,"Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
P96.9,"Condition originating in the perinatal period, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Possible,Enhanced
Q00,Anencephaly and similar malformations,"Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q00.0,Anencephaly,"Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q00.1,Craniorachischisis,"Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q00.2,Iniencephaly,"Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q01,Encephalocele,"Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q01.0,Frontal encephalocele,"Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q01.1,Nasofrontal encephalocele,"Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q01.2,Occipital encephalocele,"Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q01.8,Encephalocele of other sites,"Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q01.9,"Encephalocele, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q02,Microcephaly,"Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q03,Congenital hydrocephalus,"Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q03.0,Malformations of aqueduct of Sylvius,"Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q03.1,Atresia of foramina of Magendie and Luschka,"Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q03.8,Other congenital hydrocephalus,"Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q03.9,"Congenital hydrocephalus, unspecified","Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q04,Other congenital malformations of brain,"Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q04.0,Congenital malformations of corpus callosum,"Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
Q04.1,Arhinencephaly,"Perinatal, congenital and maternal causes",Expected medically managed,Low,Enhanced
